attendance,day_night,temp,wind_speed,duration,away_errors,away_hits,home_errors,home_hits,total_runs,home_win
42421,0,83,4,2.467,0,3,0,2,1,1
42421,0,79,5,3.433,1,17,0,12,20,0
42392,0,59,6,3.05,1,6,3,9,7,1
42386,0,61,5,2.6,1,2,1,7,5,1
42384,0,70,6,2.75,1,3,0,2,1,0
42380,1,88,10,3.717,2,3,2,17,17,1
42376,0,72,14,3.617,0,9,0,9,12,1
42338,1,84,14,3.383,0,11,1,9,10,1
42335,0,86,7,3.6,0,7,2,12,8,0
42315,0,71,7,2.717,0,6,0,7,3,1
42307,0,78,6,2.733,0,11,0,7,5,1
42307,1,74,5,3.417,1,17,2,8,11,0
42304,0,68,0,2.883,0,10,0,5,7,1
42287,0,74,17,3.083,0,9,2,5,6,0
42278,0,63,6,3.133,3,3,0,11,10,1
42272,0,73,0,3.117,0,13,0,9,5,0
42243,0,86,8,3.117,1,8,2,4,7,0
42239,1,92,5,2.717,0,9,2,8,11,0
42238,0,66,19,3.35,2,10,0,9,9,1
42227,0,84,10,3.2,0,14,0,3,10,0
42207,0,76,7,3.15,0,9,3,6,9,0
42186,0,62,6,3.133,2,8,1,6,6,0
42179,0,72,12,3.15,1,10,0,6,5,0
42159,0,74,6,3.25,0,10,0,8,5,0
42148,0,58,10,2.5,0,6,0,3,1,1
42147,0,61,14,3.083,0,9,1,7,12,0
42144,1,74,8,2.7,0,6,0,6,6,1
42141,1,74,11,2.817,0,8,0,8,8,1
42139,0,75,5,3.367,0,8,0,4,3,0
42131,1,70,8,3.2,0,10,1,8,9,0
42125,0,76,7,3.783,0,7,1,11,11,0
42099,0,59,13,2.617,1,2,0,5,1,1
42093,0,79,5,2.65,1,5,1,3,5,0
42079,1,70,9,2.383,0,6,1,4,3,0
42076,0,59,15,2.517,0,5,0,9,6,1
42075,0,68,17,2.9,0,1,1,11,4,1
42066,1,82,12,3,0,12,1,6,6,0
42038,0,62,0,3.483,0,13,1,11,16,0
42034,0,84,11,3.4,0,13,1,10,13,0
42031,0,77,9,2.65,2,5,0,9,7,1
42008,0,95,10,2.933,0,9,0,8,5,0
42001,0,58,13,3.467,1,11,0,5,6,0
42000,1,80,8,4.283,0,11,0,9,9,1
41979,1,55,16,3.6,2,12,0,10,12,1
41959,0,61,12,3.25,0,8,0,9,5,0
41955,0,80,5,3.05,0,7,0,5,7,0
41940,1,67,9,3.117,1,13,0,17,18,1
41928,0,63,14,2.783,1,6,1,6,5,0
41915,0,86,2,5.167,1,14,0,8,7,1
41901,1,83,8,2.55,0,7,1,9,6,1
41896,0,65,12,3.333,2,11,1,13,16,1
41886,0,60,14,2.767,0,8,1,13,9,1
41874,1,64,11,2.933,1,6,0,5,4,1
41869,0,60,8,2.45,0,7,1,3,6,0
41854,1,73,0,2.9,1,2,1,5,3,1
41850,0,64,13,3.45,1,12,0,12,13,0
41850,1,76,5,2.9,0,11,1,10,6,0
41838,0,77,17,2.7,0,3,0,9,6,0
41836,1,77,6,2.867,0,4,0,7,5,1
41820,0,72,9,3.2,0,4,0,11,12,1
41818,1,61,16,2.65,0,5,1,7,4,1
41811,1,61,20,2.933,4,8,0,16,11,1
41795,1,64,10,3.2,2,3,0,10,4,1
41772,0,59,13,2.85,1,9,1,9,10,1
41765,0,65,6,2.217,0,3,0,8,5,1
41760,0,58,18,3.15,0,8,1,14,9,1
41753,0,58,19,3.567,1,13,0,6,10,0
41750,0,59,20,3.35,0,4,0,12,5,1
41750,0,57,20,3.183,0,11,0,6,9,0
41743,1,63,12,3.483,0,8,0,8,8,1
41742,0,60,8,2.967,0,9,0,2,5,1
41730,0,59,16,3.883,0,12,1,18,24,0
41711,0,50,10,3.45,1,6,0,7,5,1
41706,0,59,7,3.267,0,10,2,7,9,0
41703,0,62,14,3.55,1,8,0,5,1,0
41702,1,54,5,2.65,1,7,0,8,8,1
41682,1,95,9,2.667,0,6,0,11,12,1
41678,1,58,7,2.633,0,5,1,3,2,0
41675,1,68,6,3.217,0,6,0,18,17,1
41660,0,64,9,3.317,2,7,1,15,18,1
41656,1,58,10,3.117,0,10,0,12,15,1
41650,1,61,11,3.533,1,13,1,6,10,0
41635,0,60,15,2.75,0,5,1,3,3,1
41635,0,64,13,2.567,0,7,0,5,4,0
41616,0,70,4,2.917,0,6,0,7,7,0
41607,0,87,7,2.867,1,4,0,6,5,0
41597,0,62,8,3.283,0,4,0,8,6,1
41596,1,73,15,3,0,10,0,5,5,0
41593,1,62,10,2.917,0,9,0,6,2,0
41590,1,60,6,4.333,0,12,0,7,3,1
41583,0,64,13,3.017,1,6,0,5,3,1
41582,0,65,10,3.083,0,8,0,19,15,1
41576,0,61,13,3.45,1,7,0,8,8,1
41576,1,84,11,2.85,0,11,0,1,6,0
41575,1,76,20,2.833,1,6,0,10,9,1
41571,1,65,12,3.05,0,8,1,8,6,1
41571,0,75,5,2.917,2,9,0,12,9,1
41555,1,75,18,2.3,0,5,0,8,5,1
41547,1,72,7,3.3,0,3,0,9,6,1
41543,0,58,25,3.633,1,11,0,14,16,1
41536,1,76,3,3.3,0,9,0,8,5,0
41517,0,61,12,3.5,0,13,0,17,17,1
41512,0,61,14,3.067,0,9,1,7,8,0
41509,1,64,20,3.233,2,14,0,12,9,0
41507,1,61,14,3.283,0,10,0,9,8,1
41500,0,69,4,3.35,0,11,0,6,8,0
41497,0,64,11,2.9,0,7,0,7,3,0
41483,0,88,8,2.683,0,5,0,9,6,1
41482,1,71,10,2.733,2,5,0,7,6,1
41480,0,72,3,3.9,0,6,0,8,7,0
41479,0,59,11,3.017,0,10,1,5,7,0
41479,1,75,8,3.267,1,12,0,16,15,1
41477,0,62,10,3.417,0,17,2,16,24,0
41473,1,95,12,2.9,0,15,1,7,15,0
41470,1,70,12,2.667,1,1,0,8,2,1
41464,0,59,13,2.483,1,9,0,6,4,0
41456,0,62,13,2.983,0,5,0,7,8,1
41456,0,76,11,3.067,1,8,0,9,3,0
41448,0,68,17,3.2,0,11,0,8,11,0
41447,1,67,15,3.55,0,9,0,9,6,1
41445,1,62,10,3.067,1,4,0,16,8,1
41444,0,90,6,3.117,1,11,1,6,7,0
41443,0,66,15,3.3,1,7,0,8,7,0
41442,0,64,12,2.717,0,12,0,7,11,0
41434,0,60,13,2.9,2,11,0,15,9,1
41432,0,67,6,4.583,0,16,0,13,16,0
41426,0,55,12,2.917,0,9,0,5,2,0
41424,0,73,5,3,0,8,0,6,7,1
41423,0,96,9,3.817,0,13,1,8,15,0
41413,0,58,20,2.467,0,7,0,4,1,1
41407,1,84,9,3.35,0,6,0,14,15,1
41403,0,65,10,2.883,1,7,1,9,5,0
41401,1,75,12,2.617,1,5,1,3,5,0
41386,1,68,1,2.767,0,4,0,5,1,1
41377,0,65,14,2.417,0,4,0,3,2,0
41372,1,62,10,4.467,2,11,2,12,9,1
41365,0,77,11,2.55,0,10,0,3,5,0
41363,1,60,8,3.367,1,9,0,10,7,1
41362,0,70,9,3.167,0,7,2,10,9,0
41359,0,59,18,3.25,0,9,0,13,12,1
41359,0,59,12,2.55,0,3,0,4,1,1
41358,1,73,13,4,0,11,0,7,9,1
41358,0,58,8,2.667,0,8,1,9,10,1
41357,1,59,16,3.35,1,9,0,16,22,1
41356,0,71,10,3.283,3,14,1,11,11,0
41353,0,75,11,2.933,1,6,0,10,6,1
41346,1,70,10,2.783,1,3,0,4,4,1
41327,1,72,9,3.483,0,12,1,9,13,1
41324,1,82,6,2.817,2,9,0,5,3,0
41324,0,68,8,3.067,1,6,0,4,1,0
41321,0,63,8,3.2,1,7,1,8,13,1
41320,1,65,14,2.25,1,3,0,7,3,1
41310,1,84,8,3.133,0,10,2,7,14,0
41293,1,76,8,4.383,0,4,1,10,5,1
41293,1,73,8,3.017,2,9,1,12,14,1
41286,1,69,11,2.617,0,7,0,9,4,0
41283,0,64,13,2.85,3,7,0,10,7,1
41280,1,71,7,2.55,1,5,0,13,12,1
41278,0,61,13,2.95,1,7,1,7,10,1
41278,1,83,11,2.833,1,8,0,8,12,0
41275,0,58,13,3.25,2,10,0,10,9,1
41268,1,62,13,3.233,1,15,1,14,15,0
41266,0,59,22,3.783,0,11,0,12,9,1
41262,1,85,7,2.933,0,8,0,8,8,0
41257,0,81,7,3.083,1,8,0,10,3,1
41256,0,57,11,2.867,0,7,0,4,4,0
41253,0,62,4,3.1,1,11,0,8,7,0
41250,1,71,9,3.217,1,4,1,7,5,0
41243,0,69,8,2.683,0,10,1,9,9,1
41233,0,57,14,2.9,0,9,0,5,4,0
41233,1,61,7,4.9,1,11,1,14,7,1
41231,0,63,10,3.45,0,12,0,12,10,0
41227,0,82,3,2.367,1,3,0,8,6,1
41224,1,60,4,3.367,0,10,1,5,5,0
41218,0,65,9,3.133,0,8,0,6,3,0
41213,1,79,18,2.283,1,6,0,4,5,0
41210,0,60,12,2.55,1,5,0,12,8,1
41210,1,85,5,2.817,0,9,0,11,8,1
41208,0,62,22,2.583,1,5,1,6,5,0
41185,0,62,14,3.2,2,8,0,8,7,0
41183,1,68,9,2.85,0,8,0,4,4,0
