latitude,temperature,salinity,ph,oxygen,enterococcus,quality
25.814849,22.6,32.9,7.2,6.8,0.99,1
26.025014,22.6,32.9,7.2,6.8,0.99,1
25.930998,22.6,32.9,7.2,6.8,0.99,1
26.001124,22.6,32.9,7.2,6.8,0.99,1
26.0165,22.6,32.9,7.2,6.8,0.99,1
26.022352,22.6,32.9,7.2,6.8,0.99,1
26.058156,22.6,32.9,7.2,6.8,0.99,1
26.082873,22.6,32.9,7.2,6.8,0.99,1
25.721483,22.6,32.9,7.2,6.8,0.99,1
25.832737,22.6,32.9,7.2,6.8,0.99,1
25.922304,22.6,32.9,7.2,6.8,0.99,1
25.972378,22.6,32.9,7.2,6.8,0.99,1
26.013386,23.3,32.4,7.94,6.9,10,1
25.814849,23.3,32.4,7.94,6.9,10,1
26.025014,23.3,32.4,7.94,6.9,0.99,1
25.930998,23.3,32.4,7.94,6.9,0.99,1
26.001124,23.3,32.4,7.94,6.9,0.99,1
26.0165,23.3,32.4,7.94,6.9,0.99,1
26.022352,23.3,32.4,7.94,6.9,0.99,1
26.058156,23.3,32.4,7.94,6.9,0.99,1
26.082873,23.3,32.4,7.94,6.9,0.99,1
25.721483,23.3,32.4,7.94,6.9,0.99,1
25.832737,23.3,32.4,7.94,6.9,0.99,1
25.922304,23.3,32.4,7.94,6.9,0.99,1
25.972378,23.3,32.4,7.94,6.9,0.99,1
26.013386,25.7,32.4,7.94,6.9,0.99,1
25.814849,25.7,32.4,7.94,6.9,0.99,1
26.025014,25.7,32.4,7.94,6.9,0.99,1
25.930998,25.7,32.4,7.94,6.9,0.99,1
26.001124,25.7,32.4,7.94,6.9,0.99,1
26.0165,25.7,32.4,7.94,6.9,0.99,1
26.022352,25.7,32.4,7.94,6.9,0.99,1
26.058156,25.7,32.4,7.94,6.9,0.99,1
26.082873,25.7,32.4,7.94,6.9,0.99,1
25.721483,25.7,32.4,7.94,6.9,0.99,1
25.832737,25.7,32.4,7.94,6.9,0.99,1
25.922304,25.7,32.4,7.94,6.9,0.99,1
25.972378,25.7,32.4,7.94,6.9,0.99,1
26.013386,25.7,32.4,7.94,6.9,0.99,1
25.814849,25.7,32.4,7.94,6.9,0.99,1
26.025014,25.7,32.4,7.94,6.9,0.99,1
25.930998,25.7,32.4,7.94,6.9,0.99,1
26.001124,25.7,32.4,7.94,6.9,0.99,1
26.0165,25.7,32.4,7.94,6.9,0.99,1
26.022352,25.7,32.4,7.94,6.9,0.99,1
26.058156,25.7,32.4,7.94,6.9,0.99,1
26.082873,25.7,32.4,7.94,6.9,0.99,1
25.721483,25.7,32.4,7.94,6.9,0.99,1
25.832737,25.7,32.4,7.94,6.9,0.99,1
25.922304,25.7,32.4,7.94,6.9,0.99,1
25.972378,25.7,32.4,7.94,6.9,0.99,1
26.013386,28.5,31.5,7.95,6.33,0.99,1
25.814849,28.5,31.5,7.95,6.33,0.99,1
26.025014,28.5,31.5,7.95,6.33,0.99,1
25.930998,28.5,31.5,7.95,6.33,0.99,1
26.001124,28.5,31.5,7.95,6.33,0.99,1
26.0165,28.5,31.5,7.95,6.33,0.99,1
26.022352,28.5,31.5,7.95,6.33,0.99,1
26.058156,28.5,31.5,7.95,6.33,0.99,1
26.082873,28.5,31.5,7.95,6.33,0.99,1
25.721483,28.5,31.5,7.95,6.33,0.99,1
25.832737,28.5,31.5,7.95,6.33,0.99,1
25.922304,28.5,31.5,7.95,6.33,0.99,1
25.972378,28.5,31.5,7.95,6.33,0.99,1
26.013386,29.6,31.5,7.95,6.33,0.99,1
25.814849,29.6,31.5,7.95,6.33,0.99,1
26.025014,29.6,31.5,7.95,6.33,0.99,1
25.930998,29.6,31.5,7.95,6.33,0.99,1
26.001124,29.6,31.5,7.95,6.33,0.99,1
26.0165,29.6,31.5,7.95,6.33,0.99,1
26.022352,29.6,31.5,7.95,6.33,0.99,1
26.058156,29.6,31.5,7.95,6.33,0.99,1
26.082873,29.6,31.5,7.95,6.33,0.99,1
25.721483,29.6,31.5,7.95,6.33,0.99,1
25.832737,29.6,31.5,7.95,6.33,0.99,1
25.922304,29.6,31.5,7.95,6.33,0.99,1
25.972378,29.6,31.5,7.95,6.33,0.99,1
26.013386,29.6,31.5,7.95,6.33,0.99,1
25.814849,29.6,31.5,7.95,6.33,0.99,1
26.025014,29.6,31.5,7.95,6.33,0.99,1
25.930998,29.6,31.5,7.95,6.33,0.99,1
26.001124,29.6,31.5,7.95,6.33,0.99,1
26.0165,29.6,31.5,7.95,6.33,0.99,1
26.022352,29.6,31.5,7.95,6.33,0.99,1
26.058156,29.6,31.5,7.95,6.33,0.99,1
26.082873,29.6,31.5,7.95,6.33,0.99,1
25.721483,29.6,31.5,7.95,6.33,0.99,1
25.832737,29.6,31.5,7.95,6.33,0.99,1
25.922304,29.6,31.5,7.95,6.33,0.99,1
25.972378,29.6,31.5,7.95,6.33,0.99,1
26.013386,31.6,31.5,7.95,6.33,0.99,1
25.814849,31.6,31.5,7.95,6.33,0.99,1
26.025014,31.6,31.5,7.95,6.33,0.99,1
25.930998,31.6,31.5,7.95,6.33,0.99,1
26.001124,31.6,31.5,7.95,6.33,0.99,1
26.0165,31.6,31.5,7.95,6.33,0.99,1
26.022352,31.6,31.5,7.95,6.33,0.99,1
26.058156,31.6,31.5,7.95,6.33,0.99,1
26.082873,31.6,31.5,7.95,6.33,0.99,1
25.721483,31.6,31.5,7.95,6.33,0.99,1
25.832737,31.6,31.5,7.95,6.33,0.99,1
25.922304,31.6,31.5,7.95,6.33,0.99,1
25.972378,31.6,31.5,7.95,6.33,0.99,1
26.013386,31.1,31.2,7.99,6.09,0.99,1
25.814849,31.1,31.2,7.99,6.09,0.99,1
26.025014,31.1,31.2,7.99,6.09,0.99,1
25.930998,31.1,31.2,7.99,6.09,0.99,1
26.001124,31.1,31.2,7.99,6.09,0.99,1
26.0165,31.1,31.2,7.99,6.09,0.99,1
26.022352,31.1,31.2,7.99,6.09,0.99,1
26.058156,31.1,31.2,7.99,6.09,0.99,1
26.082873,31.1,31.2,7.99,6.09,0.99,1
25.721483,31.1,31.2,7.99,6.09,0.99,1
25.832737,31.1,31.2,7.99,6.09,0.99,1
25.922304,31.1,31.2,7.99,6.09,0.99,1
25.972378,31.1,31.2,7.99,6.09,0.99,1
26.013386,28.8,31.2,7.99,6.09,0.99,1
25.814849,28.8,31.2,7.99,6.09,0.99,1
26.025014,28.8,31.2,7.99,6.09,0.99,1
25.930998,28.8,31.2,7.99,6.09,0.99,1
26.001124,28.8,31.2,7.99,6.09,0.99,1
26.0165,28.8,31.2,7.99,6.09,0.99,1
26.022352,28.8,31.2,7.99,6.09,0.99,1
